"land_id","study","barrel","bullet","land","source","H173_B1_index","damaged","cc","cc_pred","cc_manual","groove_left","groove_right"
"Hamby173-Br1-B1-L1","Hamby173","1","1",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_1_land1.x3p","Hamby173-Br1-B1-L1",FALSE,0,0,FALSE,135.102922694898,2061.0103673629
"Hamby173-Br1-B1-L2","Hamby173","1","1",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_1_land2.x3p","Hamby173-Br1-B1-L2",FALSE,0,0,FALSE,331.25,2254.6875
"Hamby173-Br1-B1-L3","Hamby173","1","1",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_1_land3.x3p","Hamby173-Br1-B1-L3",FALSE,0,0,FALSE,175,2129.6875
"Hamby173-Br1-B1-L4","Hamby173","1","1",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_1_land4.x3p","Hamby173-Br1-B1-L4",FALSE,0,0,FALSE,225,2156.25
"Hamby173-Br1-B1-L5","Hamby173","1","1",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_1_land5.x3p","Hamby173-Br1-B1-L5",FALSE,0,0,FALSE,265.625,2140.625
"Hamby173-Br1-B1-L6","Hamby173","1","1",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_1_land6.x3p","Hamby173-Br1-B1-L6",FALSE,25,25,FALSE,231.25,2181.25
"Hamby173-Br1-B2-L1","Hamby173","1","2",1,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_2_land1.x3p","Hamby173-Br1-B1-L2",FALSE,75,75,FALSE,192.1875,2071.875
"Hamby173-Br1-B2-L2","Hamby173","1","2",2,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_2_land2.x3p","Hamby173-Br1-B1-L3",FALSE,0,0,FALSE,353.740924714955,2195.3125
"Hamby173-Br1-B2-L3","Hamby173","1","2",3,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_2_land3.x3p","Hamby173-Br1-B1-L4",FALSE,0,0,FALSE,163.962372149563,2062.5
"Hamby173-Br1-B2-L4","Hamby173","1","2",4,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_2_land4.x3p","Hamby173-Br1-B1-L5",FALSE,125,0,TRUE,312.955077255861,2144.47007837367
"Hamby173-Br1-B2-L5","Hamby173","1","2",5,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_2_land5.x3p","Hamby173-Br1-B1-L6",FALSE,0,0,FALSE,310.9375,2365.625
"Hamby173-Br1-B2-L6","Hamby173","1","2",6,"NBTRD/Hamby 173 (2009) Barrel/bullets/br1_2_land6.x3p","Hamby173-Br1-B1-L1",FALSE,25,25,FALSE,240.625,2178.03853158633
